City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Sibolga,ID,1.7427,98.7792,75.45,91,58,3.76,broken clouds
276,Flinders,AU,-34.5833,150.8552,48.25,82,37,6.04,scattered clouds
277,Okhotsk,RU,59.3833,143.3,48.65,93,18,5.46,few clouds
278,Jumla,NP,29.2747,82.1838,61.07,91,29,0.47,scattered clouds
279,Leamington,CA,42.0549,-82.6062,86.0,78,49,18.88,scattered clouds
280,Bundaberg,AU,-24.85,152.35,61.21,77,90,8.99,overcast clouds
281,Hue,VN,16.4667,107.6,87.91,62,20,3.44,few clouds
282,Viet Tri,VN,21.3019,105.4308,89.55,61,100,5.59,overcast clouds
283,Constitucion,CL,-35.3333,-72.4167,50.63,43,0,3.18,clear sky
284,Graham,US,47.0529,-122.2943,92.08,53,1,1.99,clear sky
285,Xai-Xai,MZ,-25.0519,33.6442,67.73,91,12,5.75,few clouds
286,Saint-Pierre,RE,-21.3393,55.4781,73.04,80,90,2.3,overcast clouds
287,Itanagar,IN,27.1,93.6167,76.75,90,98,3.98,overcast clouds
288,Mackay,AU,-21.15,149.2,63.68,74,82,14.7,broken clouds
289,Matamoros,MX,25.5333,-103.25,87.91,36,75,9.22,broken clouds
290,Labuhan,ID,-6.8844,112.2051,79.3,83,54,5.91,broken clouds
291,Berlevag,NO,70.8578,29.0864,60.6,97,100,0.58,light rain
292,Ilula,TZ,-7.6766,36.0366,56.05,77,5,5.95,clear sky
293,Asyut,EG,27.181,31.1837,98.53,14,0,13.85,clear sky
294,Myitkyina,MM,25.3833,97.4,74.5,99,100,1.48,light rain
295,Jijiga,ET,9.35,42.8,67.86,64,85,16.93,overcast clouds
296,Rosetta,EG,31.4044,30.4164,79.45,83,0,9.95,clear sky
297,Saquarema,BR,-22.92,-42.5103,80.64,63,0,8.55,clear sky
298,Dunblane,GB,56.1884,-3.9642,70.74,61,100,1.99,overcast clouds
299,Kudahuvadhoo,MV,2.6708,72.8944,82.87,69,68,7.61,broken clouds
300,Hofn,IS,64.2539,-15.2082,52.54,68,93,9.28,overcast clouds
301,Teguise,ES,29.0605,-13.564,73.62,57,20,21.85,few clouds
302,Maua,BR,-23.6678,-46.4614,78.6,50,4,10.38,clear sky
303,Leopold,AU,-38.1833,144.4667,47.84,94,17,3.38,few clouds
304,Soyo,AO,-6.1349,12.3689,75.09,80,63,8.63,broken clouds
305,Honiara,SB,-9.4333,159.95,76.41,86,100,6.62,overcast clouds
306,Russell,US,32.3502,-85.1999,87.08,67,40,4.61,scattered clouds
307,Maldonado,UY,-34.6667,-54.9167,47.59,84,90,17.45,overcast clouds
308,Sibu,MY,2.3,111.8167,73.83,99,100,1.05,overcast clouds
309,Severomuysk,RU,56.1481,113.4267,54.03,84,100,3.11,overcast clouds
310,Nuuk,GL,64.1835,-51.7216,45.21,100,90,2.3,fog
311,Dobrinka,RU,52.1653,40.4731,79.86,75,27,9.06,scattered clouds
312,Guerrero Negro,MX,27.9769,-114.0611,69.89,64,60,14.2,broken clouds
313,Knoxville,US,35.9606,-83.9207,89.11,59,40,5.75,scattered clouds
314,Biak,ID,-0.9131,122.8766,75.29,86,42,6.67,scattered clouds
315,Villamontes,BO,-21.25,-63.5,50.54,56,100,6.67,overcast clouds
316,New Norfolk,AU,-42.7826,147.0587,42.3,82,29,2.89,scattered clouds
317,Camana,PE,-16.6228,-72.7111,64.15,75,96,8.95,overcast clouds
318,Buala,SB,-8.145,159.5921,78.64,80,87,8.59,overcast clouds
319,Iqaluit,CA,63.7506,-68.5145,35.33,100,90,3.0,overcast clouds
320,Nyurba,RU,63.2842,118.3319,62.85,77,98,3.6,overcast clouds
321,Clyde River,CA,70.4692,-68.5914,34.03,93,90,17.27,light snow
322,Marawi,PH,7.9986,124.2928,63.64,92,100,3.38,overcast clouds
323,Ilulissat,GL,69.2167,-51.1,42.82,87,90,11.5,light rain
324,Kamenka,RU,51.3223,42.7678,76.82,63,64,8.63,broken clouds
325,Valdivia,CL,-39.8142,-73.2459,41.09,72,29,3.76,scattered clouds
326,Karabuk,TR,41.2049,32.6277,72.63,82,6,3.13,clear sky
327,Domoni,KM,-12.2569,44.5319,75.78,80,54,6.78,broken clouds
328,Caravelas,BR,-17.7125,-39.2481,77.11,49,56,8.57,broken clouds
329,Havre-Saint-Pierre,CA,50.2334,-63.5986,58.53,96,100,3.76,overcast clouds
330,Elizabeth City,US,36.2946,-76.2511,90.01,66,75,1.01,broken clouds
331,Palana,RU,59.1167,159.9667,43.5,84,11,2.84,few clouds
332,Tecoanapa,MX,16.5167,-98.75,80.49,66,100,3.0,overcast clouds
333,Avera,US,33.194,-82.5271,88.68,55,52,9.01,broken clouds
334,Qaqortoq,GL,60.7167,-46.0333,59.5,85,93,8.68,overcast clouds
335,Bengkulu,ID,-3.8004,102.2655,74.7,94,93,5.06,overcast clouds
336,Mar Del Plata,AR,-38.0023,-57.5575,53.01,68,40,4.0,scattered clouds
337,Esmeraldas,BR,-19.7625,-44.3139,74.26,26,5,5.77,clear sky
338,Bara,NG,10.3744,10.7288,85.5,57,93,8.79,overcast clouds
339,Oranzherei,RU,45.8476,47.5663,89.56,42,98,9.51,overcast clouds
340,Holsted,DK,55.5109,8.9187,66.9,67,100,8.9,overcast clouds
341,Grand Gaube,MU,-20.0064,57.6608,74.37,77,38,5.99,scattered clouds
342,Port Macquarie,AU,-31.4333,152.9167,46.38,78,0,7.09,clear sky
343,Severo-Kurilsk,RU,50.6789,156.125,44.08,90,59,14.58,broken clouds
344,Baykit,RU,61.67,96.37,49.91,81,84,1.59,broken clouds
345,Najran,SA,17.4924,44.1277,87.75,19,84,6.02,broken clouds
346,Jawhar,SO,2.7809,45.5005,76.19,75,98,13.51,overcast clouds
