City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Kemi,FI,2021-06-13 16:57:42,65.8596,24.8228,60.57,48,0,13.8
217,Bago,MM,2021-06-13 16:57:43,17.3367,96.4797,77.13,93,100,4.47
218,Guatire,VE,2021-06-13 16:57:43,10.4762,-66.5427,88.7,46,80,5.19
219,Isangel,VU,2021-06-13 16:57:43,-19.55,169.2667,73.76,88,12,8.95
220,Pontes E Lacerda,BR,2021-06-13 16:57:43,-15.2261,-59.3353,86.11,43,4,0.83
221,Vila Velha,BR,2021-06-13 16:56:51,-20.3297,-40.2925,76.96,60,20,13.8
222,Thunder Bay,CA,2021-06-13 16:57:44,48.4001,-89.3168,76.91,50,75,6.91
223,Belaya Gora,RU,2021-06-13 16:57:44,68.5333,146.4167,53.56,71,98,5.59
224,Mogadishu,SO,2021-06-13 16:53:45,2.0371,45.3438,78.31,82,97,16.53
225,Terrace Bay,CA,2021-06-13 16:57:45,48.7834,-87.1,55.9,74,57,7.36
226,Tiarei,PF,2021-06-13 16:57:45,-17.5333,-149.3333,75.22,83,41,19.28
227,Melchor De Mencos,GT,2021-06-13 16:57:45,17.0686,-89.1522,80.6,83,75,0.0
228,Rockhampton,AU,2021-06-13 16:57:46,-23.3833,150.5,64.29,94,90,8.05
229,Thenzawl,IN,2021-06-13 16:57:46,23.3167,92.75,70.14,98,90,1.43
230,Bengkulu,ID,2021-06-13 16:57:46,-3.8004,102.2655,77.38,86,95,6.76
231,Bintulu,MY,2021-06-13 16:57:47,3.1667,113.0333,77.41,100,20,2.3
232,Garanhuns,BR,2021-06-13 16:57:47,-8.8903,-36.4928,77.7,45,96,8.93
233,Yerbogachen,RU,2021-06-13 16:57:47,61.2767,108.0108,47.93,88,99,3.29
234,Kailua,US,2021-06-13 16:57:48,21.4022,-157.7394,75.02,70,24,14.63
235,Severo-Kurilsk,RU,2021-06-13 16:57:48,50.6789,156.125,42.87,97,100,16.15
236,Ahuatempan,MX,2021-06-13 16:57:48,18.4167,-98.0167,72.09,56,74,3.83
237,Santa Isabel Do Rio Negro,BR,2021-06-13 16:57:48,-0.4139,-65.0192,82.69,80,82,0.81
238,Aleksandrovsk,RU,2021-06-13 16:57:49,59.158,57.5624,60.57,93,86,8.9
239,Auki,SB,2021-06-13 16:57:49,-8.7676,160.7034,77.31,88,100,3.78
240,Sandwick,GB,2021-06-13 16:57:49,60.0,-1.25,51.62,93,75,13.8
241,Sao Felix Do Xingu,BR,2021-06-13 16:57:50,-6.6447,-51.995,92.77,34,59,4.88
242,Tocopilla,CL,2021-06-13 16:57:50,-22.092,-70.1979,67.75,64,8,6.22
243,Gao,ML,2021-06-13 16:57:50,16.6362,1.637,94.89,24,65,15.75
244,Nanortalik,GL,2021-06-13 16:57:50,60.1432,-45.2371,37.06,90,98,7.38
245,Cap Malheureux,MU,2021-06-13 16:57:51,-19.9842,57.6142,75.69,82,20,5.99
246,Tongren,CN,2021-06-13 16:57:51,27.7172,109.1853,76.19,93,63,3.04
247,Dukat,RU,2021-06-13 16:57:51,62.55,155.55,43.43,68,84,5.79
248,Port Lincoln,AU,2021-06-13 16:57:52,-34.7333,135.8667,58.53,75,99,11.97
249,Callaway,US,2021-06-13 16:57:52,30.153,-85.5699,90.91,64,100,1.99
250,Faya,SA,2021-06-13 16:57:52,18.3851,42.4509,79.32,15,12,11.77
251,Morgan City,US,2021-06-13 16:57:53,29.6994,-91.2068,94.03,54,57,6.69
252,Ambanja,MG,2021-06-13 16:54:17,-13.6833,48.45,73.18,89,65,1.88
253,Mahebourg,MU,2021-06-13 16:57:53,-20.4081,57.7,75.49,69,75,16.11
254,Husavik,IS,2021-06-13 16:57:54,66.0449,-17.3389,37.31,92,100,22.86
255,Biak,ID,2021-06-13 16:57:54,-0.9131,122.8766,76.24,84,92,1.25
256,Hithadhoo,MV,2021-06-13 16:57:54,-0.6,73.0833,82.31,73,93,6.93
257,Hamadan,IR,2021-06-13 16:57:55,34.7992,48.5146,69.75,15,0,7.61
258,Ribeira Grande,PT,2021-06-13 16:57:55,38.5167,-28.7,72.0,78,20,6.91
259,Pakruojis,LT,2021-06-13 16:57:55,55.9667,23.8667,65.19,69,83,16.37
260,Namatanai,PG,2021-06-13 16:57:56,-3.6667,152.4333,78.39,78,31,6.53
261,Santa Cruz,BO,2021-06-13 16:54:43,-17.8,-63.1667,76.46,53,20,5.75
262,Saskylakh,RU,2021-06-13 16:57:56,71.9167,114.0833,40.35,62,71,11.65
263,Pisco,PE,2021-06-13 16:57:56,-13.7,-76.2167,66.25,68,90,5.75
264,Daru,PG,2021-06-13 16:57:57,-9.0763,143.2092,77.68,90,81,10.27
265,San Cristobal,VE,2021-06-13 16:57:57,7.7669,-72.225,82.58,53,70,8.34
266,Ketchikan,US,2021-06-13 16:57:57,55.3422,-131.6461,58.84,67,94,4.56
267,Poco Verde,BR,2021-06-13 16:57:58,-10.7083,-38.1833,86.79,41,24,10.78
268,Satipo,PE,2021-06-13 16:57:58,-11.2522,-74.6386,83.43,49,19,2.3
269,Gravdal,NO,2021-06-13 16:57:58,68.1214,13.5031,48.09,71,75,11.5
270,Baykit,RU,2021-06-13 16:57:59,61.67,96.37,42.75,86,38,6.15
271,Hambantota,LK,2021-06-13 16:57:59,6.1241,81.1185,80.44,78,65,17.85
272,Jiaojiang,CN,2021-06-13 16:57:59,28.6803,121.4428,79.95,99,100,1.74
273,Mayo,US,2021-06-13 16:57:59,38.8876,-76.5119,83.98,74,44,1.99
274,Samut Sakhon,TH,2021-06-13 16:58:00,13.5833,100.3,80.02,77,100,6.89
275,Abu Dhabi,AE,2021-06-13 16:58:00,24.4667,54.3667,91.42,66,0,9.22
276,Verkhnyaya Toyma,RU,2021-06-13 16:58:00,62.2349,44.9985,66.13,78,97,5.14
277,Torbay,CA,2021-06-13 16:58:01,47.6666,-52.7314,55.89,65,40,10.36
278,Half Moon Bay,US,2021-06-13 16:58:01,37.4636,-122.4286,77.59,76,77,5.99
279,Constantine,DZ,2021-06-13 16:58:02,36.365,6.6147,94.41,20,20,8.05
280,Buraydah,SA,2021-06-13 16:53:29,26.326,43.975,99.05,10,0,11.43
281,Nema,RU,2021-06-13 16:58:02,57.5067,50.5011,64.69,88,40,8.55
282,Biri,PH,2021-06-13 16:58:02,12.6833,124.3636,81.68,78,100,5.37
283,Atlantic City,US,2021-06-13 16:53:54,39.3643,-74.4229,81.25,62,1,13.8
284,Huilong,CN,2021-06-13 16:58:03,31.8111,121.655,78.04,95,79,8.57
285,Narsaq,GL,2021-06-13 16:58:03,60.9167,-46.05,43.05,69,65,7.72
286,Hala,PK,2021-06-13 16:58:04,25.8131,68.4227,91.38,66,0,26.51
287,Chapais,CA,2021-06-13 16:58:04,49.7834,-74.8492,67.78,19,42,3.8
288,Lalibela,ET,2021-06-13 16:58:04,12.0333,39.0333,71.69,22,97,10.07
289,Inzer,RU,2021-06-13 16:58:05,54.2167,57.5556,64.9,51,93,7.63
290,Sungairaya,ID,2021-06-13 16:58:05,0.7,108.9,77.83,88,100,4.81
291,Zaysan,KZ,2021-06-13 16:58:05,47.4667,84.8667,50.02,72,60,9.33
292,Rudnaya Pristan,RU,2021-06-13 16:58:06,44.3614,135.8116,53.73,95,77,10.36
